date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:41	394608/394608	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2012:11:37%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3874	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/index2123.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:41:55	395852/395852	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2012:10:52%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3739	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/index2107.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:41:55	0/-1	---M--	301	error ('')			https://sakshamdiy.in/contact	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/contact.89f.delayed	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/4/)
17:42:02	313686/313686	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jun%202023%2012:11:57%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/4/3736	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/4/3736.8a0.delayed	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/4/)
17:42:07	313686/313686	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jun%202023%2012:12:03%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/4/3735	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/4/3735.8a1.delayed	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/4/)
17:42:13	396794/396794	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2012:11:09%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3737	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/indexa2d6.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:42:17	2749/2749	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2028%20Jun%202023%2012:11:42%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3882	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/index04e9.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:42:18	2749/2749	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2028%20Jun%202023%2012:12:09%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/4/?add-to-cart=3736	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/4/indexa98b.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/4/)
17:42:18	2749/2749	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2028%20Jun%202023%2012:11:22%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3799	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/index32fe.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:42:26	312185/312185	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jun%202023%2012:12:19%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/4/3728	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/4/3728.8a2.delayed	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/4/)
